acceptable,review_notes,delete_reason,skill_id,band,level,phase,question_id,question_type,target_word,prompt,sentence_with_blank,full_sentence,answer_choices,correct_answer,letter_tiles,correct_letter_sequence,image_path,audio_path,template_key,content_key,target_template_key,source,source_sheet,generator_notes,possible_problem_flags
Y,,,hfw_26_50,26-50,2,2,hfw_true_hfw_26_50_will_l2p2_05,hfw_sentence_spell,will,Listen to the sentence. Spell the word that fits.,The flower ___ grow tall.,The flower will grow tall.,,will,i a t v p l h w j q l c,will,/images/assessment/hfw/variants/replacement-2026-06-05/hfw_26_50/hfw_workbook_hfw_26_50_will_s19.webp,,HFW_SENTENCE_SPELL_L2P2_03,will::HFW_SENTENCE_SPELL_L2P2_03::the flower ___ grow tall::will::/images/assessment/hfw/variants/replacement-2026-06-05/hfw_26_50/hfw_workbook_hfw_26_50_will_s19.webp,will::HFW_SENTENCE_SPELL_L2P2_03,hfw_true_variation_generator,HFW 26-50,sentence_frame=the flower ___ grow tall,
Y,,,hfw_26_50,26-50,2,2,hfw_true_hfw_26_50_will_l2p2_06,hfw_sentence_spell,will,Listen to the sentence. Spell the word that fits.,I ___ try my best.,I will try my best.,,will,i o a b v l r w x j l m,will,/images/assessment/hfw/variants/replacement-2026-06-05/hfw_26_50/hfw_workbook_hfw_26_50_will_s20.webp,,HFW_SENTENCE_SPELL_L2P2_04,will::HFW_SENTENCE_SPELL_L2P2_04::i ___ try my best::will::/images/assessment/hfw/variants/replacement-2026-06-05/hfw_26_50/hfw_workbook_hfw_26_50_will_s20.webp,will::HFW_SENTENCE_SPELL_L2P2_04,hfw_true_variation_generator,HFW 26-50,sentence_frame=i ___ try my best,
Y,,,hfw_26_50,26-50,1,1,hfw_true_hfw_26_50_help_l1p1_01,multiple_choice,help,Choose the word that completes the sentence.,"When the teacher pointed, i can ___ clean the table.","When the teacher pointed, i can help clean the table.",help | from | as | all | help | from | as | all | help | from | as | all,help,,,/images/assessment/hfw/variants/hfw-26-50/help-l1p1-02.webp,,HFW_SENTENCE_CLOZE_L1P1_24,help::HFW_SENTENCE_CLOZE_L1P1_24::when the teacher pointed i can ___ clean the table::help::all|all|all|as|as|as|from|from|from|help|help|help::/images/assessment/hfw/variants/hfw-26-50/help-l1p1-02.webp,help::HFW_SENTENCE_CLOZE_L1P1_24,hfw_true_variation_generator,HFW 26-50,sentence_frame=when the teacher pointed i can ___ clean the table,mechanical_sentence
Y,,,hfw_26_50,26-50,1,2,hfw_true_hfw_26_50_help_l1p2_01,multiple_choice,help,Read the sentence. Choose the word that fits.,"When the class lined up, i can ___ clean the table.","When the class lined up, i can help clean the table.",where | from | as | help | where | from | as | help | where | from | as | help,help,,,/images/assessment/hfw/variants/hfw-26-50/help-l1p2-02.webp,,HFW_SENTENCE_CLOZE_L1P2_24,help::HFW_SENTENCE_CLOZE_L1P2_24::when the class lined up i can ___ clean the table::help::as|as|as|from|from|from|help|help|help|where|where|where::/images/assessment/hfw/variants/hfw-26-50/help-l1p2-02.webp,help::HFW_SENTENCE_CLOZE_L1P2_24,hfw_true_variation_generator,HFW 26-50,sentence_frame=when the class lined up i can ___ clean the table,mechanical_sentence
Y,,,hfw_26_50,26-50,2,1,hfw_true_hfw_26_50_help_l2p1_01,hfw_sentence_spell,help,Listen to the sentence. Spell the word that fits.,"When the train slowed, i can ___ clean the table.","When the train slowed, i can help clean the table.",,help,h h j q p c e a t v p l,help,/images/assessment/hfw/variants/hfw-26-50/help-l2p1-02.webp,,HFW_SENTENCE_SPELL_L2P1_24,help::HFW_SENTENCE_SPELL_L2P1_24::when the train slowed i can ___ clean the table::help::/images/assessment/hfw/variants/hfw-26-50/help-l2p1-02.webp,help::HFW_SENTENCE_SPELL_L2P1_24,hfw_true_variation_generator,HFW 26-50,sentence_frame=when the train slowed i can ___ clean the table,mechanical_sentence
Y,,,hfw_26_50,26-50,2,2,hfw_true_hfw_26_50_help_l2p2_01,hfw_sentence_spell,help,Listen to the sentence. Spell the word that fits.,"When the cup tipped, i can ___ clean the table.","When the cup tipped, i can help clean the table.",,help,p j e m c o a l v h r h,help,/images/assessment/hfw/variants/hfw-26-50/help-l2p2-02.webp,,HFW_SENTENCE_SPELL_L2P2_24,help::HFW_SENTENCE_SPELL_L2P2_24::when the cup tipped i can ___ clean the table::help::/images/assessment/hfw/variants/hfw-26-50/help-l2p2-02.webp,help::HFW_SENTENCE_SPELL_L2P2_24,hfw_true_variation_generator,HFW 26-50,sentence_frame=when the cup tipped i can ___ clean the table,mechanical_sentence
Y,,,hfw_26_50,26-50,1,1,hfw_true_hfw_26_50_make_l1p1_01,multiple_choice,make,Choose the word that completes the sentence.,"When the kite dipped, we can ___ a paper boat.","When the kite dipped, we can make a paper boat.",down | play | was | make | down | play | was | make | down | play | was | make,make,,,/images/assessment/hfw/variants/hfw-26-50/make-l1p1-02.webp,,HFW_SENTENCE_CLOZE_L1P1_01,make::HFW_SENTENCE_CLOZE_L1P1_01::when the kite dipped we can ___ a paper boat::make::down|down|down|make|make|make|play|play|play|was|was|was::/images/assessment/hfw/variants/hfw-26-50/make-l1p1-02.webp,make::HFW_SENTENCE_CLOZE_L1P1_01,hfw_true_variation_generator,HFW 26-50,sentence_frame=when the kite dipped we can ___ a paper boat,mechanical_sentence
Y,,,hfw_26_50,26-50,1,1,hfw_true_hfw_26_50_make_l1p1_02,multiple_choice,make,Choose the word that completes the sentence.,___ a circle with your pencil.,make a circle with your pencil.,play | was | make | down | play | was | make | down | play | was | make | down,make,,,/images/assessment/hfw/variants/replacement-2026-06-05/hfw_26_50/hfw_workbook_hfw_26_50_make_s01.webp,,HFW_SENTENCE_CLOZE_L1P1_02,make::HFW_SENTENCE_CLOZE_L1P1_02::___ a circle with your pencil::make::down|down|down|make|make|make|play|play|play|was|was|was::/images/assessment/hfw/variants/replacement-2026-06-05/hfw_26_50/hfw_workbook_hfw_26_50_make_s01.webp,make::HFW_SENTENCE_CLOZE_L1P1_02,hfw_true_variation_generator,HFW 26-50,sentence_frame=___ a circle with your pencil,
Y,,,hfw_26_50,26-50,1,1,hfw_true_hfw_26_50_make_l1p1_03,multiple_choice,make,Choose the word that completes the sentence.,We ___ a tower with blocks.,We make a tower with blocks.,was | make | down | play | was | make | down | play | was | make | down | play,make,,,/images/assessment/hfw/variants/replacement-2026-06-05/hfw_26_50/hfw_workbook_hfw_26_50_make_s02.webp,,HFW_SENTENCE_CLOZE_L1P1_03,make::HFW_SENTENCE_CLOZE_L1P1_03::we ___ a tower with blocks::make::down|down|down|make|make|make|play|play|play|was|was|was::/images/assessment/hfw/variants/replacement-2026-06-05/hfw_26_50/hfw_workbook_hfw_26_50_make_s02.webp,make::HFW_SENTENCE_CLOZE_L1P1_03,hfw_true_variation_generator,HFW 26-50,sentence_frame=we ___ a tower with blocks,
Y,,,hfw_26_50,26-50,1,1,hfw_true_hfw_26_50_make_l1p1_04,multiple_choice,make,Choose the word that completes the sentence.,Can you ___ a pattern?,Can you make a pattern?,make | down | play | was | make | down | play | was | make | down | play | was,make,,,/images/assessment/hfw/variants/replacement-2026-06-05/hfw_26_50/hfw_workbook_hfw_26_50_make_s03.webp,,HFW_SENTENCE_CLOZE_L1P1_04,make::HFW_SENTENCE_CLOZE_L1P1_04::can you ___ a pattern::make::down|down|down|make|make|make|play|play|play|was|was|was::/images/assessment/hfw/variants/replacement-2026-06-05/hfw_26_50/hfw_workbook_hfw_26_50_make_s03.webp,make::HFW_SENTENCE_CLOZE_L1P1_04,hfw_true_variation_generator,HFW 26-50,sentence_frame=can you ___ a pattern,
Y,,,hfw_26_50,26-50,1,1,hfw_true_hfw_26_50_make_l1p1_05,multiple_choice,make,Choose the word that completes the sentence.,She can ___ a paper hat.,She can make a paper hat.,down | play | was | make | down | play | was | make | down | play | was | make,make,,,/images/assessment/hfw/variants/replacement-2026-06-05/hfw_26_50/hfw_workbook_hfw_26_50_make_s04.webp,,HFW_SENTENCE_CLOZE_L1P1_05,make::HFW_SENTENCE_CLOZE_L1P1_05::she can ___ a paper hat::make::down|down|down|make|make|make|play|play|play|was|was|was::/images/assessment/hfw/variants/replacement-2026-06-05/hfw_26_50/hfw_workbook_hfw_26_50_make_s04.webp,make::HFW_SENTENCE_CLOZE_L1P1_05,hfw_true_variation_generator,HFW 26-50,sentence_frame=she can ___ a paper hat,
Y,,,hfw_26_50,26-50,1,1,hfw_true_hfw_26_50_make_l1p1_06,multiple_choice,make,Choose the word that completes the sentence.,"When the clock chimed, we can ___ a paper boat.","When the clock chimed, we can make a paper boat.",play | was | make | down | play | was | make | down | play | was | make | down,make,,,/images/assessment/hfw/variants/replacement-2026-06-05/hfw_26_50/hfw_workbook_hfw_26_50_make_s05.webp,,HFW_SENTENCE_CLOZE_L1P1_06,make::HFW_SENTENCE_CLOZE_L1P1_06::when the clock chimed we can ___ a paper boat::make::down|down|down|make|make|make|play|play|play|was|was|was::/images/assessment/hfw/variants/replacement-2026-06-05/hfw_26_50/hfw_workbook_hfw_26_50_make_s05.webp,make::HFW_SENTENCE_CLOZE_L1P1_06,hfw_true_variation_generator,HFW 26-50,sentence_frame=when the clock chimed we can ___ a paper boat,mechanical_sentence
Y,,,hfw_26_50,26-50,1,2,hfw_true_hfw_26_50_make_l1p2_01,multiple_choice,make,Read the sentence. Choose the word that fits.,"When the helper waved, we can ___ a paper boat.","When the helper waved, we can make a paper boat.",play | was | make | down | play | was | make | down | play | was | make | down,make,,,/images/assessment/hfw/variants/hfw-26-50/make-l1p2-02.webp,,HFW_SENTENCE_CLOZE_L1P2_01,make::HFW_SENTENCE_CLOZE_L1P2_01::when the helper waved we can ___ a paper boat::make::down|down|down|make|make|make|play|play|play|was|was|was::/images/assessment/hfw/variants/hfw-26-50/make-l1p2-02.webp,make::HFW_SENTENCE_CLOZE_L1P2_01,hfw_true_variation_generator,HFW 26-50,sentence_frame=when the helper waved we can ___ a paper boat,mechanical_sentence
Y,,,hfw_26_50,26-50,1,2,hfw_true_hfw_26_50_make_l1p2_02,multiple_choice,make,Read the sentence. Choose the word that fits.,"When the lantern glowed, we can ___ a paper boat.","When the lantern glowed, we can make a paper boat.",play | make | came | down | play | make | came | down | play | make | came | down,make,,,/images/assessment/hfw/variants/hfw-26-50/make-l1p2-03.webp,,HFW_SENTENCE_CLOZE_L1P2_02,make::HFW_SENTENCE_CLOZE_L1P2_02::when the lantern glowed we can ___ a paper boat::make::came|came|came|down|down|down|make|make|make|play|play|play::/images/assessment/hfw/variants/hfw-26-50/make-l1p2-03.webp,make::HFW_SENTENCE_CLOZE_L1P2_02,hfw_true_variation_generator,HFW 26-50,sentence_frame=when the lantern glowed we can ___ a paper boat,mechanical_sentence
Y,,,hfw_26_50,26-50,1,2,hfw_true_hfw_26_50_make_l1p2_03,multiple_choice,make,Read the sentence. Choose the word that fits.,He helped ___ lunch.,He helped make lunch.,make | came | down | play | make | came | down | play | make | came | down | play,make,,,/images/assessment/hfw/variants/replacement-2026-06-05/hfw_26_50/hfw_workbook_hfw_26_50_make_s06.webp,,HFW_SENTENCE_CLOZE_L1P2_03,make::HFW_SENTENCE_CLOZE_L1P2_03::he helped ___ lunch::make::came|came|came|down|down|down|make|make|make|play|play|play::/images/assessment/hfw/variants/replacement-2026-06-05/hfw_26_50/hfw_workbook_hfw_26_50_make_s06.webp,make::HFW_SENTENCE_CLOZE_L1P2_03,hfw_true_variation_generator,HFW 26-50,sentence_frame=he helped ___ lunch,
Y,,,hfw_26_50,26-50,1,2,hfw_true_hfw_26_50_make_l1p2_04,multiple_choice,make,Read the sentence. Choose the word that fits.,The class will ___ a poster.,The class will make a poster.,came | down | play | make | came | down | play | make | came | down | play | make,make,,,/images/assessment/hfw/variants/replacement-2026-06-05/hfw_26_50/hfw_workbook_hfw_26_50_make_s07.webp,,HFW_SENTENCE_CLOZE_L1P2_04,make::HFW_SENTENCE_CLOZE_L1P2_04::the class will ___ a poster::make::came|came|came|down|down|down|make|make|make|play|play|play::/images/assessment/hfw/variants/replacement-2026-06-05/hfw_26_50/hfw_workbook_hfw_26_50_make_s07.webp,make::HFW_SENTENCE_CLOZE_L1P2_04,hfw_true_variation_generator,HFW 26-50,sentence_frame=the class will ___ a poster,
Y,,,hfw_26_50,26-50,1,2,hfw_true_hfw_26_50_make_l1p2_05,multiple_choice,make,Read the sentence. Choose the word that fits.,___ sure the lid is closed.,make sure the lid is closed.,down | play | make | came | down | play | make | came | down | play | make | came,make,,,/images/assessment/hfw/variants/replacement-2026-06-05/hfw_26_50/hfw_workbook_hfw_26_50_make_s08.webp,,HFW_SENTENCE_CLOZE_L1P2_05,make::HFW_SENTENCE_CLOZE_L1P2_05::___ sure the lid is closed::make::came|came|came|down|down|down|make|make|make|play|play|play::/images/assessment/hfw/variants/replacement-2026-06-05/hfw_26_50/hfw_workbook_hfw_26_50_make_s08.webp,make::HFW_SENTENCE_CLOZE_L1P2_05,hfw_true_variation_generator,HFW 26-50,sentence_frame=___ sure the lid is closed,
Y,,,hfw_26_50,26-50,1,2,hfw_true_hfw_26_50_make_l1p2_06,multiple_choice,make,Read the sentence. Choose the word that fits.,The baker can ___ bread.,The baker can make bread.,play | make | came | down | play | make | came | down | play | make | came | down,make,,,/images/assessment/hfw/variants/replacement-2026-06-05/hfw_26_50/hfw_workbook_hfw_26_50_make_s09.webp,,HFW_SENTENCE_CLOZE_L1P2_06,make::HFW_SENTENCE_CLOZE_L1P2_06::the baker can ___ bread::make::came|came|came|down|down|down|make|make|make|play|play|play::/images/assessment/hfw/variants/replacement-2026-06-05/hfw_26_50/hfw_workbook_hfw_26_50_make_s09.webp,make::HFW_SENTENCE_CLOZE_L1P2_06,hfw_true_variation_generator,HFW 26-50,sentence_frame=the baker can ___ bread,
Y,,,hfw_26_50,26-50,1,2,hfw_true_hfw_26_50_make_l1p2_07,multiple_choice,make,Read the sentence. Choose the word that fits.,We ___ sounds with our voices.,We make sounds with our voices.,make | came | down | play | make | came | down | play | make | came | down | play,make,,,/images/assessment/hfw/variants/replacement-2026-06-05/hfw_26_50/hfw_workbook_hfw_26_50_make_s10.webp,,HFW_SENTENCE_CLOZE_L1P2_07,make::HFW_SENTENCE_CLOZE_L1P2_07::we ___ sounds with our voices::make::came|came|came|down|down|down|make|make|make|play|play|play::/images/assessment/hfw/variants/replacement-2026-06-05/hfw_26_50/hfw_workbook_hfw_26_50_make_s10.webp,make::HFW_SENTENCE_CLOZE_L1P2_07,hfw_true_variation_generator,HFW 26-50,sentence_frame=we ___ sounds with our voices,
Y,,,hfw_26_50,26-50,2,1,hfw_true_hfw_26_50_make_l2p1_01,hfw_sentence_spell,make,Listen to the sentence. Spell the word that fits.,"When the shell shone, we can ___ a paper boat.","When the shell shone, we can make a paper boat.",,make,p y h s k q m c u e t a,make,/images/assessment/hfw/variants/hfw-26-50/make-l2p1-02.webp,,HFW_SENTENCE_SPELL_L2P1_01,make::HFW_SENTENCE_SPELL_L2P1_01::when the shell shone we can ___ a paper boat::make::/images/assessment/hfw/variants/hfw-26-50/make-l2p1-02.webp,make::HFW_SENTENCE_SPELL_L2P1_01,hfw_true_variation_generator,HFW 26-50,sentence_frame=when the shell shone we can ___ a paper boat,mechanical_sentence
Y,,,hfw_26_50,26-50,2,1,hfw_true_hfw_26_50_make_l2p1_02,hfw_sentence_spell,make,Listen to the sentence. Spell the word that fits.,___ a line by the door.,make a line by the door.,,make,a v p r h k j m m c e a,make,/images/assessment/hfw/variants/replacement-2026-06-05/hfw_26_50/hfw_workbook_hfw_26_50_make_s11.webp,,HFW_SENTENCE_SPELL_L2P1_02,make::HFW_SENTENCE_SPELL_L2P1_02::___ a line by the door::make::/images/assessment/hfw/variants/replacement-2026-06-05/hfw_26_50/hfw_workbook_hfw_26_50_make_s11.webp,make::HFW_SENTENCE_SPELL_L2P1_02,hfw_true_variation_generator,HFW 26-50,sentence_frame=___ a line by the door,
Y,,,hfw_26_50,26-50,2,1,hfw_true_hfw_26_50_make_l2p1_03,hfw_sentence_spell,make,Listen to the sentence. Spell the word that fits.,The children ___ a bridge.,The children make a bridge.,,make,a b v d r k x m f m e o,make,/images/assessment/hfw/variants/replacement-2026-06-05/hfw_26_50/hfw_workbook_hfw_26_50_make_s12.webp,,HFW_SENTENCE_SPELL_L2P1_03,make::HFW_SENTENCE_SPELL_L2P1_03::the children ___ a bridge::make::/images/assessment/hfw/variants/replacement-2026-06-05/hfw_26_50/hfw_workbook_hfw_26_50_make_s12.webp,make::HFW_SENTENCE_SPELL_L2P1_03,hfw_true_variation_generator,HFW 26-50,sentence_frame=the children ___ a bridge,
Y,,,hfw_26_50,26-50,2,1,hfw_true_hfw_26_50_make_l2p1_04,hfw_sentence_spell,make,Listen to the sentence. Spell the word that fits.,Can you ___ a rhyme?,Can you make a rhyme?,,make,i a g b l d k z m w f e,make,/images/assessment/hfw/variants/replacement-2026-06-05/hfw_26_50/hfw_workbook_hfw_26_50_make_s13.webp,,HFW_SENTENCE_SPELL_L2P1_04,make::HFW_SENTENCE_SPELL_L2P1_04::can you ___ a rhyme::make::/images/assessment/hfw/variants/replacement-2026-06-05/hfw_26_50/hfw_workbook_hfw_26_50_make_s13.webp,make::HFW_SENTENCE_SPELL_L2P1_04,hfw_true_variation_generator,HFW 26-50,sentence_frame=can you ___ a rhyme,
Y,,,hfw_26_50,26-50,2,1,hfw_true_hfw_26_50_make_l2p1_05,hfw_sentence_spell,make,Listen to the sentence. Spell the word that fits.,The wind can ___ leaves move.,The wind can make leaves move.,,make,e n a k g u l k e m y w,make,/images/assessment/hfw/variants/replacement-2026-06-05/hfw_26_50/hfw_workbook_hfw_26_50_make_s14.webp,,HFW_SENTENCE_SPELL_L2P1_05,make::HFW_SENTENCE_SPELL_L2P1_05::the wind can ___ leaves move::make::/images/assessment/hfw/variants/replacement-2026-06-05/hfw_26_50/hfw_workbook_hfw_26_50_make_s14.webp,make::HFW_SENTENCE_SPELL_L2P1_05,hfw_true_variation_generator,HFW 26-50,sentence_frame=the wind can ___ leaves move,
Y,,,hfw_26_50,26-50,2,1,hfw_true_hfw_26_50_make_l2p1_06,hfw_sentence_spell,make,Listen to the sentence. Spell the word that fits.,___ the first letter big.,make the first letter big.,,make,e s a q k c u k t m p y,make,/images/assessment/hfw/variants/replacement-2026-06-05/hfw_26_50/hfw_workbook_hfw_26_50_make_s15.webp,,HFW_SENTENCE_SPELL_L2P1_06,make::HFW_SENTENCE_SPELL_L2P1_06::___ the first letter big::make::/images/assessment/hfw/variants/replacement-2026-06-05/hfw_26_50/hfw_workbook_hfw_26_50_make_s15.webp,make::HFW_SENTENCE_SPELL_L2P1_06,hfw_true_variation_generator,HFW 26-50,sentence_frame=___ the first letter big,
Y,,,hfw_26_50,26-50,2,2,hfw_true_hfw_26_50_make_l2p2_01,hfw_sentence_spell,make,Listen to the sentence. Spell the word that fits.,"When the card folded, we can ___ a paper boat.","When the card folded, we can make a paper boat.",,make,k h m j q e c a a t v p,make,/images/assessment/hfw/variants/hfw-26-50/make-l2p2-02.webp,,HFW_SENTENCE_SPELL_L2P2_01,make::HFW_SENTENCE_SPELL_L2P2_01::when the card folded we can ___ a paper boat::make::/images/assessment/hfw/variants/hfw-26-50/make-l2p2-02.webp,make::HFW_SENTENCE_SPELL_L2P2_01,hfw_true_variation_generator,HFW 26-50,sentence_frame=when the card folded we can ___ a paper boat,mechanical_sentence
Y,,,hfw_26_50,26-50,2,2,hfw_true_hfw_26_50_make_l2p2_02,hfw_sentence_spell,make,Listen to the sentence. Spell the word that fits.,She will ___ a card.,She will make a card.,,make,k r m x j e m a o a b v,make,/images/assessment/hfw/variants/replacement-2026-06-05/hfw_26_50/hfw_workbook_hfw_26_50_make_s16.webp,,HFW_SENTENCE_SPELL_L2P2_02,make::HFW_SENTENCE_SPELL_L2P2_02::she will ___ a card::make::/images/assessment/hfw/variants/replacement-2026-06-05/hfw_26_50/hfw_workbook_hfw_26_50_make_s16.webp,make::HFW_SENTENCE_SPELL_L2P2_02,hfw_true_variation_generator,HFW 26-50,sentence_frame=she will ___ a card,
Y,,,hfw_26_50,26-50,2,2,hfw_true_hfw_26_50_make_l2p2_03,hfw_sentence_spell,make,Listen to the sentence. Spell the word that fits.,The dog can ___ a mess.,The dog can make a mess.,,make,b k d m z x e f a i o g,make,/images/assessment/hfw/variants/replacement-2026-06-05/hfw_26_50/hfw_workbook_hfw_26_50_make_s17.webp,,HFW_SENTENCE_SPELL_L2P2_03,make::HFW_SENTENCE_SPELL_L2P2_03::the dog can ___ a mess::make::/images/assessment/hfw/variants/replacement-2026-06-05/hfw_26_50/hfw_workbook_hfw_26_50_make_s17.webp,make::HFW_SENTENCE_SPELL_L2P2_03,hfw_true_variation_generator,HFW 26-50,sentence_frame=the dog can ___ a mess,
Y,,,hfw_26_50,26-50,2,2,hfw_true_hfw_26_50_make_l2p2_04,hfw_sentence_spell,make,Listen to the sentence. Spell the word that fits.,___ room for your friend.,make room for your friend.,,make,k g k l m e z e w a n i,make,/images/assessment/hfw/variants/replacement-2026-06-05/hfw_26_50/hfw_workbook_hfw_26_50_make_s18.webp,,HFW_SENTENCE_SPELL_L2P2_04,make::HFW_SENTENCE_SPELL_L2P2_04::___ room for your friend::make::/images/assessment/hfw/variants/replacement-2026-06-05/hfw_26_50/hfw_workbook_hfw_26_50_make_s18.webp,make::HFW_SENTENCE_SPELL_L2P2_04,hfw_true_variation_generator,HFW 26-50,sentence_frame=___ room for your friend,
Y,,,hfw_26_50,26-50,2,2,hfw_true_hfw_26_50_make_l2p2_05,hfw_sentence_spell,make,Listen to the sentence. Spell the word that fits.,"When the rain stopped, we can ___ a paper boat.","When the rain stopped, we can make a paper boat.",,make,q k k u m t e e y a s n,make,/images/assessment/hfw/variants/replacement-2026-06-05/hfw_26_50/hfw_workbook_hfw_26_50_make_s19.webp,,HFW_SENTENCE_SPELL_L2P2_05,make::HFW_SENTENCE_SPELL_L2P2_05::when the rain stopped we can ___ a paper boat::make::/images/assessment/hfw/variants/replacement-2026-06-05/hfw_26_50/hfw_workbook_hfw_26_50_make_s19.webp,make::HFW_SENTENCE_SPELL_L2P2_05,hfw_true_variation_generator,HFW 26-50,sentence_frame=when the rain stopped we can ___ a paper boat,mechanical_sentence
Y,,,hfw_26_50,26-50,2,2,hfw_true_hfw_26_50_make_l2p2_06,hfw_sentence_spell,make,Listen to the sentence. Spell the word that fits.,Can you ___ ten with cubes?,Can you make ten with cubes?,,make,s j q k c m a t e p a h,make,/images/assessment/hfw/variants/replacement-2026-06-05/hfw_26_50/hfw_workbook_hfw_26_50_make_s20.webp,,HFW_SENTENCE_SPELL_L2P2_06,make::HFW_SENTENCE_SPELL_L2P2_06::can you ___ ten with cubes::make::/images/assessment/hfw/variants/replacement-2026-06-05/hfw_26_50/hfw_workbook_hfw_26_50_make_s20.webp,make::HFW_SENTENCE_SPELL_L2P2_06,hfw_true_variation_generator,HFW 26-50,sentence_frame=can you ___ ten with cubes,
Y,,,hfw_51_75,51-75,1,1,hfw_true_hfw_51_75_after_l1p1_01,multiple_choice,after,Choose the word that completes the sentence.,"When the story started, we washed our hands ___ lunch.","When the story started, we washed our hands after lunch.",could | every | fly | after | could | every | fly | after | could | every | fly | after,after,,,/images/assessment/hfw/variants/hfw-51-75/after-l1p1-02.webp,,HFW_SENTENCE_CLOZE_L1P1_01,after::HFW_SENTENCE_CLOZE_L1P1_01::when the story started we washed our hands ___ lunch::after::after|after|after|could|could|could|every|every|every|fly|fly|fly::/images/assessment/hfw/variants/hfw-51-75/after-l1p1-02.webp,after::HFW_SENTENCE_CLOZE_L1P1_01,hfw_true_variation_generator,HFW 51-75,sentence_frame=when the story started we washed our hands ___ lunch,mechanical_sentence
Y,,,hfw_51_75,51-75,1,2,hfw_true_hfw_51_75_after_l1p2_01,multiple_choice,after,Read the sentence. Choose the word that fits.,"When the music ended, we washed our hands ___ lunch.","When the music ended, we washed our hands after lunch.",could | every | after | here | could | every | after | here | could | every | after | here,after,,,/images/assessment/hfw/variants/hfw-51-75/after-l1p2-02.webp,,HFW_SENTENCE_CLOZE_L1P2_01,after::HFW_SENTENCE_CLOZE_L1P2_01::when the music ended we washed our hands ___ lunch::after::after|after|after|could|could|could|every|every|every|here|here|here::/images/assessment/hfw/variants/hfw-51-75/after-l1p2-02.webp,after::HFW_SENTENCE_CLOZE_L1P2_01,hfw_true_variation_generator,HFW 51-75,sentence_frame=when the music ended we washed our hands ___ lunch,mechanical_sentence
Y,,,hfw_51_75,51-75,2,1,hfw_true_hfw_51_75_after_l2p1_01,hfw_sentence_spell,after,Listen to the sentence. Spell the word that fits.,"When the ball bounced, we washed our hands ___ lunch.","When the ball bounced, we washed our hands after lunch.",,after,f y w r n t k a u l e e,after,/images/assessment/hfw/variants/hfw-51-75/after-l2p1-02.webp,,HFW_SENTENCE_SPELL_L2P1_01,after::HFW_SENTENCE_SPELL_L2P1_01::when the ball bounced we washed our hands ___ lunch::after::/images/assessment/hfw/variants/hfw-51-75/after-l2p1-02.webp,after::HFW_SENTENCE_SPELL_L2P1_01,hfw_true_variation_generator,HFW 51-75,sentence_frame=when the ball bounced we washed our hands ___ lunch,mechanical_sentence
Y,,,hfw_51_75,51-75,2,2,hfw_true_hfw_51_75_after_l2p2_01,hfw_sentence_spell,after,Listen to the sentence. Spell the word that fits.,"When the duck splashed, we washed our hands ___ lunch.","When the duck splashed, we washed our hands after lunch.",,after,y t s a q k e u f t e r,after,/images/assessment/hfw/variants/hfw-51-75/after-l2p2-02.webp,,HFW_SENTENCE_SPELL_L2P2_01,after::HFW_SENTENCE_SPELL_L2P2_01::when the duck splashed we washed our hands ___ lunch::after::/images/assessment/hfw/variants/hfw-51-75/after-l2p2-02.webp,after::HFW_SENTENCE_SPELL_L2P2_01,hfw_true_variation_generator,HFW 51-75,sentence_frame=when the duck splashed we washed our hands ___ lunch,mechanical_sentence
Y,,,hfw_51_75,51-75,1,1,hfw_true_hfw_51_75_again_l1p1_01,multiple_choice,again,Choose the word that completes the sentence.,"When the puppy barked, sam read the page ___ before bed.","When the puppy barked, sam read the page again before bed.",funny | any | again | found | funny | any | again | found | funny | any | again | found,again,,,/images/assessment/hfw/variants/hfw-51-75/again-l1p1-02.webp,,HFW_SENTENCE_CLOZE_L1P1_02,again::HFW_SENTENCE_CLOZE_L1P1_02::when the puppy barked sam read the page ___ before bed::again::again|again|again|any|any|any|found|found|found|funny|funny|funny::/images/assessment/hfw/variants/hfw-51-75/again-l1p1-02.webp,again::HFW_SENTENCE_CLOZE_L1P1_02,hfw_true_variation_generator,HFW 51-75,sentence_frame=when the puppy barked sam read the page ___ before bed,mechanical_sentence
Y,,,hfw_51_75,51-75,1,2,hfw_true_hfw_51_75_again_l1p2_01,multiple_choice,again,Read the sentence. Choose the word that fits.,"When the red light blinked, sam read the page ___ before bed.","When the red light blinked, sam read the page again before bed.",an | again | fly | find | an | again | fly | find | an | again | fly | find,again,,,/images/assessment/hfw/variants/hfw-51-75/again-l1p2-02.webp,,HFW_SENTENCE_CLOZE_L1P2_02,again::HFW_SENTENCE_CLOZE_L1P2_02::when the red light blinked sam read the page ___ before bed::again::again|again|again|an|an|an|find|find|find|fly|fly|fly::/images/assessment/hfw/variants/hfw-51-75/again-l1p2-02.webp,again::HFW_SENTENCE_CLOZE_L1P2_02,hfw_true_variation_generator,HFW 51-75,sentence_frame=when the red light blinked sam read the page ___ before bed,mechanical_sentence
